NOM,battement,emotion,ton voix,,STYLE,battement,emotion,ton voix,,ARTISTS,battement,emotion,ton voix,,MEDIUM,battement,emotion,ton voix
landscape,60,NEU,,,Cyberpunk,90,ANG,,,Hiroshi Yoshida,60,SAD,,,Painting,60,NEU,
wizard,80,FEA,,,Psychedelic,110,DIS,,,Max Ernst,90,FEA,,,Drawing,50,NEU,
priest,50,NEU,,,Surreal,90,FEA,,,Paul Signac,80,NEU,,,Sketch,70,SAD,
necromancer,110,FEA,,,Vaporwave,60,SAD,,,Salvador Dali,50,FEA,,,Pencil Drawing,60,FEA,
angel,50,HAP,,,Alien,110,FEA,,,James Gurney,70,HAP,,,Woodblock Print,90,HAP,
emperor,70,ANG,,,Solarpunk,70,HAP,,,M.C. Esher,60,DIS,,,Matte painting,100,FEA,
rockstar,100,HAP,,,Modern,60,NEU,,,Thomas Kinkade,80,HAP,,,Childâ€™s Drawing,60,HAP,
city,80,SAD,,,Ancient,50,SAD,,,Ivan Aivazovsky,50,SAD,,,Ink Drawing,80,NEU,
queen,60,DIS,,,Futuristic,80,FEA,,,Italo Calvino,90,DIS,,,Oil on canvas,70,HAP,
zeus,90,FEA,,,Retro,70,HAP,,,Norman Rockwell,100,SAD,,,Graffiti,110,DIS,
house,60,NEU,,,Realistic,90,NEU,,,Albert Bierstadt,60,NEU,,,Watercolor painting,50,SAD,
mountain,70,SAD,,,Dreamlike,60,HAP,,,Girgio de Chirico,80,DIS,,,Fresco,70,FEA,
river,60,NEU,,,Funk art,100,DIS,,,Rene Magritte,90,DIS,,,Stone tablet,90,NEU,
temple,80,NEU,,,Abstract,50,SAD,,,Ross Tran,80,HAP,,,Cave painting,60,NEU,
library,40,HAP,,,Pop art,90,HAP,,,Marc Simonetti,70,FEA,,,Sculpture,80,DIS,
tower,60,FEA,,,Impressionism,70,SAD,,,John Harris,60,SAD,,,Work on paper,60,NEU,
medieval town,80,SAD,,,Cubism,50,FEA,,,Hilma af Klint,50,FEA,,,Needlepoint,100,HAP,
fountain,50,HAP,,,Minimalism,40,SAD,,,George Inness,60,SAD,,,Charcoal sketch,110,ANG,
fireflies,90,HAP,,,Gothic,120,ANG,,,Pablo Picasso,100,DIS,,,Field journal line art,100,SAD,
castle,50,NEU,,,Memphis,80,HAP,,,William Blake,70,FEA,,,Etching,100,SAD,
garden,60,DIS,,,Cybernetic,100,ANG,,,Wassily Kandinsky,110,HAP,,,Airbrush,80,NEU,
waterfall,50,FEA,,,Renaissance,70,FEA,,,Peter Mohrbacher,80,ANG,,,Ukiyo-e,70,HAP,
mansion,100,FEA,,,Expressionism,60,SAD,,,Greg Rutkowski,110,ANG,,,Acrylic on canvas,90,NEU,
forest,70,FEA,,,Fauvism,90,NEU,,,Steven Belledin,100,DIS,,,Pastels,60,SAD,
stars,90,SAD,,,Dada,120,FEA,,,Studio Ghibli,60,HAP,,,Digital painting,80,ANG,
sea,60,SAD,,,Street art,90,HAP,,,Vintage Disney,50,NEU,,,Vector art,90,HAP,
snake,110,FEA,,,Suprematism,50,NEU,,,Edward Hopper,70,SAD,,,Isometric 3D,100,NEU,
monster,120,FEA,,,Concept art,60,NEU,,,Keith Haring,120,HAP,,,Pixel art,110,HAP,
knight,110,ANG,,,Potrait,70,NEU,,,Georges Seurat,60,NEU,,,Chalk painting,70,NEU,
hedgehog,60,NEU,,,Art nouveau,80,HAP,,,Vincent van Gogh,90,SAD,,,Egg tempera paint,80,SAD,
astronaut,90,SAD,,,Vintage,60,SAD,,,Lisa Frank,100,HAP,,,Gouache,90,HAP,
person,80,NEU,,,,,,,,Basquiat,120,ANG,,,Hot wax painting,90,ANG,
sunset,60,SAD,,,,,,,,Simon Stalenhag,80,FEA,,,Fresco painting,70,NEU,
village,50,HAP,,,,,,,,Zdizslaw Beksinski,110,DIS,,,Collage,100,HAP,
lighthouse,100,FEA,,,,,,,,HR Giger,120,DIS,,,Intaglio,90,ANG,
dinosaur,110,ANG,,,,,,,,Robert Crumb,60,NEU,,,Photography,70,NEU,
ship,90,DIS,,,,,,,,Hieronymus Bosch,70,DIS,,,Markers,80,NEU,
,,,,,,,,,,Gustav Klimt,80,NEU,,,,,,
,,,,,,,,,,Roy Lichtenstein,70,HAP,,,,,,
,,,,,,,,,,Alejandro Burdisio,90,NEU,,,,,,
,,,,,,,,,,Cuno Amiet,60,HAP,,,,,,
,,,,,,,,,,Jacques-Laurent Agasse,50,NEU,,,,,,
,,,,,,,,,,Andy Fairhurst,80,ANG,,,,,,
,,,,,,,,,,Jim Burns,70,NEU,,,,,,
,,,,,,,,,,Derek Gores,100,HAP,,,,,,
,,,,,,,,,,Miles Aldridge,110,DIS,,,,,,
,,,,,,,,,,Andreas Achenbach,70,NEU,,,,,,
,,,,,,,,,,H.R Giger,120,FEA,,,,,,
,,,,,,,,,,Masashi Kishimoto,80,HAP,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ANG,DIS,FEA,HAP,NEU,SAD,,,,,,,,,,,,,